Date,EventDate,Event,Site,ECO,White,Black,Round,Result
1957.04.23,1957.03.05,World Championship 21th,Moscow RUS,C18,"Smyslov, Vassily V","Botvinnik, Mikhail M",20,1-0
1957.04.25,1957.03.05,World Championship 21th,Moscow RUS,D79,"Botvinnik, Mikhail M","Smyslov, Vassily V",21,1/2-1/2
1957.04.27,1957.03.05,World Championship 21th,Moscow RUS,C11,"Smyslov, Vassily V","Botvinnik, Mikhail M",22,1/2-1/2
1958.03.04,1958.03.04,World Championship 22th,Moscow RUS,B11,"Smyslov, Vassily V","Botvinnik, Mikhail M",1,0-1
1958.03.06,1958.03.04,World Championship 22th,Moscow RUS,E81,"Botvinnik, Mikhail M","Smyslov, Vassily V",2,1-0
1958.03.11,1958.03.04,World Championship 22th,Moscow RUS,B19,"Smyslov, Vassily V","Botvinnik, Mikhail M",3,0-1
1958.03.13,1958.03.04,World Championship 22th,Moscow RUS,D98,"Botvinnik, Mikhail M","Smyslov, Vassily V",4,1/2-1/2
1958.03.18,1958.03.04,World Championship 22th,Moscow RUS,B72,"Smyslov, Vassily V","Botvinnik, Mikhail M",5,1-0
1958.03.20,1958.03.04,World Championship 22th,Moscow RUS,E81,"Botvinnik, Mikhail M","Smyslov, Vassily V",6,1-0
1958.03.22,1958.03.04,World Championship 22th,Moscow RUS,B72,"Smyslov, Vassily V","Botvinnik, Mikhail M",7,1/2-1/2
1958.03.25,1958.03.04,World Championship 22th,Moscow RUS,E69,"Botvinnik, Mikhail M","Smyslov, Vassily V",8,1/2-1/2
1958.03.27,1958.03.04,World Championship 22th,Moscow RUS,B72,"Smyslov, Vassily V","Botvinnik, Mikhail M",9,1/2-1/2
1958.03.29,1958.03.04,World Championship 22th,Moscow RUS,A16,"Botvinnik, Mikhail M","Smyslov, Vassily V",10,1/2-1/2
1958.04.01,1958.03.04,World Championship 22th,Moscow RUS,D99,"Smyslov, Vassily V","Botvinnik, Mikhail M",11,1-0
1958.04.03,1958.03.04,World Championship 22th,Moscow RUS,A12,"Botvinnik, Mikhail M","Smyslov, Vassily V",12,1-0
1958.04.05,1958.03.04,World Championship 22th,Moscow RUS,D47,"Smyslov, Vassily V","Botvinnik, Mikhail M",13,1/2-1/2
1958.04.08,1958.03.04,World Championship 22th,Moscow RUS,A16,"Botvinnik, Mikhail M","Smyslov, Vassily V",14,1-0
1958.04.10,1958.03.04,World Championship 22th,Moscow RUS,B12,"Smyslov, Vassily V","Botvinnik, Mikhail M",15,1-0
1958.04.15,1958.03.04,World Championship 22th,Moscow RUS,A16,"Botvinnik, Mikhail M","Smyslov, Vassily V",16,1/2-1/2
1958.04.17,1958.03.04,World Championship 22th,Moscow RUS,B10,"Smyslov, Vassily V","Botvinnik, Mikhail M",17,1/2-1/2
1958.04.19,1958.03.04,World Championship 22th,Moscow RUS,A16,"Botvinnik, Mikhail M","Smyslov, Vassily V",18,1-0
1958.04.22,1958.03.04,World Championship 22th,Moscow RUS,B11,"Smyslov, Vassily V","Botvinnik, Mikhail M",19,1-0
1958.04.29,1958.03.04,World Championship 22th,Moscow RUS,A30,"Botvinnik, Mikhail M","Smyslov, Vassily V",20,1/2-1/2
1958.05.01,1958.03.04,World Championship 22th,Moscow RUS,B34,"Smyslov, Vassily V","Botvinnik, Mikhail M",21,1/2-1/2
1958.05.03,1958.03.04,World Championship 22th,Moscow RUS,A95,"Botvinnik, Mikhail M","Smyslov, Vassily V",22,0-1
1958.05.08,1958.03.04,World Championship 22th,Moscow RUS,A05,"Smyslov, Vassily V","Botvinnik, Mikhail M",23,1/2-1/2
1960.??.??,1960.??.??,World Championship 23th,Moscow RUS,C18,"Tal, Mikhail N","Botvinnik, Mikhail M",1,1-0
1960.??.??,1960.??.??,World Championship 23th,Moscow RUS,A61,"Botvinnik, Mikhail M","Tal, Mikhail N",2,1/2-1/2
1960.??.??,1960.??.??,World Championship 23th,Moscow RUS,B11,"Tal, Mikhail N","Botvinnik, Mikhail M",3,1/2-1/2
1960.??.??,1960.??.??,World Championship 23th,Moscow RUS,E27,"Botvinnik, Mikhail M","Tal, Mikhail N",4,1/2-1/2
1960.??.??,1960.??.??,World Championship 23th,Moscow RUS,B18,"Tal, Mikhail N","Botvinnik, Mikhail M",5,1/2-1/2
1960.??.??,1960.??.??,World Championship 23th,Moscow RUS,E69,"Botvinnik, Mikhail M","Tal, Mikhail N",6,0-1
1960.??.??,1960.??.??,World Championship 23th,Moscow RUS,B18,"Tal, Mikhail N","Botvinnik, Mikhail M",7,1-0
1960.??.??,1960.??.??,World Championship 23th,Moscow RUS,A60,"Botvinnik, Mikhail M","Tal, Mikhail N",8,1-0
1960.??.??,1960.??.??,World Championship 23th,Moscow RUS,B18,"Tal, Mikhail N","Botvinnik, Mikhail M",9,0-1
1960.??.??,1960.??.??,World Championship 23th,Moscow RUS,E89,"Botvinnik, Mikhail M","Tal, Mikhail N",10,1/2-1/2
1960.??.??,1960.??.??,World Championship 23th,Moscow RUS,D78,"Tal, Mikhail N","Botvinnik, Mikhail M",11,1-0
1960.??.??,1960.??.??,World Championship 23th,Moscow RUS,D40,"Botvinnik, Mikhail M","Tal, Mikhail N",12,1/2-1/2
1960.??.??,1960.??.??,World Championship 23th,Moscow RUS,A30,"Tal, Mikhail N","Botvinnik, Mikhail M",13,1/2-1/2
1960.??.??,1960.??.??,World Championship 23th,Moscow RUS,E24,"Botvinnik, Mikhail M","Tal, Mikhail N",14,1/2-1/2
1960.??.??,1960.??.??,World Championship 23th,Moscow RUS,B18,"Tal, Mikhail N","Botvinnik, Mikhail M",15,1/2-1/2
1960.??.??,1960.??.??,World Championship 23th,Moscow RUS,E24,"Botvinnik, Mikhail M","Tal, Mikhail N",16,1/2-1/2
1960.??.??,1960.??.??,World Championship 23th,Moscow RUS,B18,"Tal, Mikhail N","Botvinnik, Mikhail M",17,1-0
1960.??.??,1960.??.??,World Championship 23th,Moscow RUS,E24,"Botvinnik, Mikhail M","Tal, Mikhail N",18,1/2-1/2
1960.??.??,1960.??.??,World Championship 23th,Moscow RUS,A87,"Tal, Mikhail N","Botvinnik, Mikhail M",19,1-0
1960.??.??,1960.??.??,World Championship 23th,Moscow RUS,E24,"Botvinnik, Mikhail M","Tal, Mikhail N",20,1/2-1/2
1960.??.??,1960.??.??,World Championship 23th,Moscow RUS,E19,"Tal, Mikhail N","Botvinnik, Mikhail M",21,1/2-1/2
1961.03.15,1961.03.15,World Championship 24th,Moscow RUS,E51,"Botvinnik, Mikhail M","Tal, Mikhail N",1,1-0
1961.03.17,1961.03.15,World Championship 24th,Moscow RUS,B18,"Tal, Mikhail N","Botvinnik, Mikhail M",2,1-0
1961.03.20,1961.03.15,World Championship 24th,Moscow RUS,E51,"Botvinnik, Mikhail M","Tal, Mikhail N",3,1-0
1961.03.22,1961.03.15,World Championship 24th,Moscow RUS,B12,"Tal, Mikhail N","Botvinnik, Mikhail M",4,1/2-1/2
1961.03.24,1961.03.15,World Championship 24th,Moscow RUS,E51,"Botvinnik, Mikhail M","Tal, Mikhail N",5,1/2-1/2
1961.03.27,1961.03.15,World Championship 24th,Moscow RUS,B12,"Tal, Mikhail N","Botvinnik, Mikhail M",6,1/2-1/2
1961.03.29,1961.03.15,World Championship 24th,Moscow RUS,E24,"Botvinnik, Mikhail M","Tal, Mikhail N",7,1-0
1961.03.31,1961.03.15,World Championship 24th,Moscow RUS,B12,"Tal, Mikhail N","Botvinnik, Mikhail M",8,1-0
1961.04.07,1961.03.15,World Championship 24th,Moscow RUS,A23,"Botvinnik, Mikhail M","Tal, Mikhail N",9,1-0
1961.04.10,1961.03.15,World Championship 24th,Moscow RUS,B12,"Tal, Mikhail N","Botvinnik, Mikhail M",10,0-1
1961.04.12,1961.03.15,World Championship 24th,Moscow RUS,D14,"Botvinnik, Mikhail M","Tal, Mikhail N",11,1-0
1961.04.14,1961.03.15,World Championship 24th,Moscow RUS,C18,"Tal, Mikhail N","Botvinnik, Mikhail M",12,1-0
1961.04.17,1961.03.15,World Championship 24th,Moscow RUS,E85,"Botvinnik, Mikhail M","Tal, Mikhail N",13,1-0
1961.04.19,1961.03.15,World Championship 24th,Moscow RUS,B12,"Tal, Mikhail N","Botvinnik, Mikhail M",14,1/2-1/2
1961.04.21,1961.03.15,World Championship 24th,Moscow RUS,E81,"Botvinnik, Mikhail M","Tal, Mikhail N",15,1-0
1961.04.24,1961.03.15,World Championship 24th,Moscow RUS,B12,"Tal, Mikhail N","Botvinnik, Mikhail M",16,1/2-1/2
1961.04.28,1961.03.15,World Championship 24th,Moscow RUS,E81,"Botvinnik, Mikhail M","Tal, Mikhail N",17,0-1
1961.05.03,1961.03.15,World Championship 24th,Moscow RUS,B12,"Tal, Mikhail N","Botvinnik, Mikhail M",18,0-1
1961.05.05,1961.03.15,World Championship 24th,Moscow RUS,E81,"Botvinnik, Mikhail M","Tal, Mikhail N",19,0-1
1961.05.08,1961.03.15,World Championship 24th,Moscow RUS,B12,"Tal, Mikhail N","Botvinnik, Mikhail M",20,1/2-1/2
1961.05.12,1961.03.15,World Championship 24th,Moscow RUS,E87,"Botvinnik, Mikhail M","Tal, Mikhail N",21,1-0
1963.03.23,1963.03.23,World Championship 25th,Moscow RUS,E35,"Petrosian, Tigran V","Botvinnik, Mikhail M",1,0-1
1963.03.25,1963.03.23,World Championship 25th,Moscow RUS,D27,"Botvinnik, Mikhail M","Petrosian, Tigran V",2,1/2-1/2
1963.03.27,1963.03.23,World Championship 25th,Moscow RUS,E18,"Petrosian, Tigran V","Botvinnik, Mikhail M",3,1/2-1/2
1963.03.30,1963.03.23,World Championship 25th,Moscow RUS,A35,"Botvinnik, Mikhail M","Petrosian, Tigran V",4,1/2-1/2
1963.04.01,1963.03.23,World Championship 25th,Moscow RUS,D94,"Petrosian, Tigran V","Botvinnik, Mikhail M",5,1-0
1963.04.03,1963.03.23,World Championship 25th,Moscow RUS,D27,"Botvinnik, Mikhail M","Petrosian, Tigran V",6,1/2-1/2
1963.04.06,1963.03.23,World Championship 25th,Moscow RUS,A21,"Petrosian, Tigran V","Botvinnik, Mikhail M",7,1-0
1963.04.08,1963.03.23,World Championship 25th,Moscow RUS,D27,"Botvinnik, Mikhail M","Petrosian, Tigran V",8,1/2-1/2
1963.04.13,1963.03.23,World Championship 25th,Moscow RUS,E08,"Petrosian, Tigran V","Botvinnik, Mikhail M",9,1/2-1/2
1963.04.15,1963.03.23,World Championship 25th,Moscow RUS,D27,"Botvinnik, Mikhail M","Petrosian, Tigran V",10,1/2-1/2
1963.04.17,1963.03.23,World Championship 25th,Moscow RUS,D32,"Petrosian, Tigran V","Botvinnik, Mikhail M",11,1/2-1/2
1963.04.20,1963.03.23,World Championship 25th,Moscow RUS,D31,"Botvinnik, Mikhail M","Petrosian, Tigran V",12,1/2-1/2
1963.04.22,1963.03.23,World Championship 25th,Moscow RUS,E18,"Petrosian, Tigran V","Botvinnik, Mikhail M",13,1/2-1/2
1963.04.24,1963.03.23,World Championship 25th,Moscow RUS,D31,"Botvinnik, Mikhail M","Petrosian, Tigran V",14,1-0
1963.04.29,1963.03.23,World Championship 25th,Moscow RUS,D97,"Petrosian, Tigran V","Botvinnik, Mikhail M",15,1-0
1963.05.01,1963.03.23,World Championship 25th,Moscow RUS,D27,"Botvinnik, Mikhail M","Petrosian, Tigran V",16,1/2-1/2
1963.05.06,1963.03.23,World Championship 25th,Moscow RUS,E14,"Petrosian, Tigran V","Botvinnik, Mikhail M",17,1/2-1/2
1963.05.08,1963.03.23,World Championship 25th,Moscow RUS,D31,"Botvinnik, Mikhail M","Petrosian, Tigran V",18,0-1
1963.05.11,1963.03.23,World Championship 25th,Moscow RUS,E19,"Petrosian, Tigran V","Botvinnik, Mikhail M",19,1-0
1963.05.15,1963.03.23,World Championship 25th,Moscow RUS,D27,"Botvinnik, Mikhail M","Petrosian, Tigran V",20,1/2-1/2
1963.05.18,1963.03.23,World Championship 25th,Moscow RUS,A16,"Petrosian, Tigran V","Botvinnik, Mikhail M",21,1/2-1/2
1963.05.20,1963.03.23,World Championship 25th,Moscow RUS,D23,"Botvinnik, Mikhail M","Petrosian, Tigran V",22,1/2-1/2
1966.04.11,1966.04.11,World Championship 26th,Moscow RUS,B19,"Spassky, Boris V","Petrosian, Tigran V",1,1/2-1/2
1966.04.13,1966.04.11,World Championship 26th,Moscow RUS,D59,"Petrosian, Tigran V","Spassky, Boris V",2,1/2-1/2
1966.04.15,1966.04.11,World Championship 26th,Moscow RUS,D26,"Spassky, Boris V","Petrosian, Tigran V",3,1/2-1/2
1966.04.18,1966.04.11,World Championship 26th,Moscow RUS,E08,"Petrosian, Tigran V","Spassky, Boris V",4,1/2-1/2
1966.04.20,1966.04.11,World Championship 26th,Moscow RUS,B14,"Spassky, Boris V","Petrosian, Tigran V",5,1/2-1/2
1966.04.22,1966.04.11,World Championship 26th,Moscow RUS,D41,"Petrosian, Tigran V","Spassky, Boris V",6,1/2-1/2
1966.04.25,1966.04.11,World Championship 26th,Moscow RUS,D03,"Spassky, Boris V","Petrosian, Tigran V",7,0-1
1966.04.27,1966.04.11,World Championship 26th,Moscow RUS,A33,"Petrosian, Tigran V","Spassky, Boris V",8,1/2-1/2
1966.04.29,1966.04.11,World Championship 26th,Moscow RUS,D42,"Spassky, Boris V","Petrosian, Tigran V",9,1/2-1/2
1966.05.02,1966.04.11,World Championship 26th,Moscow RUS,E66,"Petrosian, Tigran V","Spassky, Boris V",10,1-0
1966.05.04,1966.04.11,World Championship 26th,Moscow RUS,C10,"Spassky, Boris V","Petrosian, Tigran V",11,1/2-1/2
1966.05.06,1966.04.11,World Championship 26th,Moscow RUS,A42,"Petrosian, Tigran V","Spassky, Boris V",12,1/2-1/2
1966.05.11,1966.04.11,World Championship 26th,Moscow RUS,B19,"Spassky, Boris V","Petrosian, Tigran V",13,1-0
1966.05.13,1966.04.11,World Championship 26th,Moscow RUS,A05,"Petrosian, Tigran V","Spassky, Boris V",14,1/2-1/2
1966.05.16,1966.04.11,World Championship 26th,Moscow RUS,B25,"Spassky, Boris V","Petrosian, Tigran V",15,1/2-1/2
1966.05.18,1966.04.11,World Championship 26th,Moscow RUS,B06,"Petrosian, Tigran V","Spassky, Boris V",16,1/2-1/2
1966.05.20,1966.04.11,World Championship 26th,Moscow RUS,B25,"Spassky, Boris V","Petrosian, Tigran V",17,1/2-1/2
1966.05.23,1966.04.11,World Championship 26th,Moscow RUS,E12,"Petrosian, Tigran V","Spassky, Boris V",18,1/2-1/2
1966.05.27,1966.04.11,World Championship 26th,Moscow RUS,C11,"Spassky, Boris V","Petrosian, Tigran V",19,1-0
1966.05.30,1966.04.11,World Championship 26th,Moscow RUS,E59,"Petrosian, Tigran V","Spassky, Boris V",20,1-0
1966.06.01,1966.04.11,World Championship 26th,Moscow RUS,C11,"Spassky, Boris V","Petrosian, Tigran V",21,1/2-1/2
1966.06.03,1966.04.11,World Championship 26th,Moscow RUS,A40,"Petrosian, Tigran V","Spassky, Boris V",22,1-0
1966.06.06,1966.04.11,World Championship 26th,Moscow RUS,C11,"Spassky, Boris V","Petrosian, Tigran V",23,1-0
1966.06.08,1966.04.11,World Championship 26th,Moscow RUS,E61,"Petrosian, Tigran V","Spassky, Boris V",24,1/2-1/2
1969.04.14,1969.04.14,World Championship 27th,Moscow RUS,B42,"Spassky, Boris V","Petrosian, Tigran V",1,0-1
1969.04.16,1969.04.14,World Championship 27th,Moscow RUS,D34,"Petrosian, Tigran V","Spassky, Boris V",2,1/2-1/2
1969.04.18,1969.04.14,World Championship 27th,Moscow RUS,B36,"Spassky, Boris V","Petrosian, Tigran V",3,1/2-1/2
1969.04.21,1969.04.14,World Championship 27th,Moscow RUS,D34,"Petrosian, Tigran V","Spassky, Boris V",4,0-1
1969.04.23,1969.04.14,World Championship 27th,Moscow RUS,D41,"Spassky, Boris V","Petrosian, Tigran V",5,1-0
1969.04.25,1969.04.14,World Championship 27th,Moscow RUS,D56,"Petrosian, Tigran V","Spassky, Boris V",6,1/2-1/2
1969.04.30,1969.04.14,World Championship 27th,Moscow RUS,D19,"Spassky, Boris V","Petrosian, Tigran V",7,1/2-1/2
1969.05.02,1969.04.14,World Championship 27th,Moscow RUS,D37,"Petrosian, Tigran V","Spassky, Boris V",8,0-1
1969.05.05,1969.04.14,World Championship 27th,Moscow RUS,A56,"Spassky, Boris V","Petrosian, Tigran V",9,1/2-1/2
1969.05.09,1969.04.14,World Championship 27th,Moscow RUS,E48,"Petrosian, Tigran V","Spassky, Boris V",10,1-0
1969.05.12,1969.04.14,World Championship 27th,Moscow RUS,E12,"Spassky, Boris V","Petrosian, Tigran V",11,0-1
1969.05.14,1969.04.14,World Championship 27th,Moscow RUS,D34,"Petrosian, Tigran V","Spassky, Boris V",12,1/2-1/2
1969.05.16,1969.04.14,World Championship 27th,Moscow RUS,C42,"Spassky, Boris V","Petrosian, Tigran V",13,1/2-1/2
1969.05.19,1969.04.14,World Championship 27th,Moscow RUS,D55,"Petrosian, Tigran V","Spassky, Boris V",14,1/2-1/2
1969.05.21,1969.04.14,World Championship 27th,Moscow RUS,C42,"Spassky, Boris V","Petrosian, Tigran V",15,1/2-1/2
1969.05.23,1969.04.14,World Championship 27th,Moscow RUS,D34,"Petrosian, Tigran V","Spassky, Boris V",16,1/2-1/2
1969.05.28,1969.04.14,World Championship 27th,Moscow RUS,B42,"Spassky, Boris V","Petrosian, Tigran V",17,1-0
1969.06.02,1969.04.14,World Championship 27th,Moscow RUS,D34,"Petrosian, Tigran V","Spassky, Boris V",18,1/2-1/2
1969.06.04,1969.04.14,World Championship 27th,Moscow RUS,B94,"Spassky, Boris V","Petrosian, Tigran V",19,1-0
1969.06.09,1969.04.14,World Championship 27th,Moscow RUS,D55,"Petrosian, Tigran V","Spassky, Boris V",20,1-0
1969.06.11,1969.04.14,World Championship 27th,Moscow RUS,C92,"Spassky, Boris V","Petrosian, Tigran V",21,1-0
1969.06.13,1969.04.14,World Championship 27th,Moscow RUS,D58,"Petrosian, Tigran V","Spassky, Boris V",22,1/2-1/2
1969.06.16,1969.04.14,World Championship 27th,Moscow RUS,B48,"Spassky, Boris V","Petrosian, Tigran V",23,1/2-1/2
1972.07.11,1972.07.11,World Championship 28th,Reykjavik ISL,E56,"Spassky, Boris V","Fischer, Robert J",1,1-0
1972.07.13,1972.07.11,World Championship 28th,Reykjavik ISL,A00,"Fischer, Robert J","Spassky, Boris V",2,0-1
1972.07.16,1972.07.11,World Championship 28th,Reykjavik ISL,A77,"Spassky, Boris V","Fischer, Robert J",3,0-1
1972.07.18,1972.07.11,World Championship 28th,Reykjavik ISL,B88,"Fischer, Robert J","Spassky, Boris V",4,1/2-1/2
1972.07.20,1972.07.11,World Championship 28th,Reykjavik ISL,E41,"Spassky, Boris V","Fischer, Robert J",5,0-1
1972.07.23,1972.07.11,World Championship 28th,Reykjavik ISL,D59,"Fischer, Robert J","Spassky, Boris V",6,1-0
1972.07.25,1972.07.11,World Championship 28th,Reykjavik ISL,B97,"Spassky, Boris V","Fischer, Robert J",7,1/2-1/2
1972.07.27,1972.07.11,World Championship 28th,Reykjavik ISL,A39,"Fischer, Robert J","Spassky, Boris V",8,1-0
1972.08.01,1972.07.11,World Championship 28th,Reykjavik ISL,D41,"Spassky, Boris V","Fischer, Robert J",9,1/2-1/2
1972.08.03,1972.07.11,World Championship 28th,Reykjavik ISL,C95,"Fischer, Robert J","Spassky, Boris V",10,1-0
1972.08.06,1972.07.11,World Championship 28th,Reykjavik ISL,B97,"Spassky, Boris V","Fischer, Robert J",11,1-0
1972.08.08,1972.07.11,World Championship 28th,Reykjavik ISL,D66,"Fischer, Robert J","Spassky, Boris V",12,1/2-1/2
1972.08.10,1972.07.11,World Championship 28th,Reykjavik ISL,B04,"Spassky, Boris V","Fischer, Robert J",13,0-1
1972.08.15,1972.07.11,World Championship 28th,Reykjavik ISL,D37,"Fischer, Robert J","Spassky, Boris V",14,1/2-1/2
1972.08.17,1972.07.11,World Championship 28th,Reykjavik ISL,B99,"Spassky, Boris V","Fischer, Robert J",15,1/2-1/2
1972.08.20,1972.07.11,World Championship 28th,Reykjavik ISL,C69,"Fischer, Robert J","Spassky, Boris V",16,1/2-1/2
1972.08.22,1972.07.11,World Championship 28th,Reykjavik ISL,B09,"Spassky, Boris V","Fischer, Robert J",17,1/2-1/2
1972.08.24,1972.07.11,World Championship 28th,Reykjavik ISL,B69,"Fischer, Robert J","Spassky, Boris V",18,1/2-1/2
1972.08.27,1972.07.11,World Championship 28th,Reykjavik ISL,B05,"Spassky, Boris V","Fischer, Robert J",19,1/2-1/2
1972.08.29,1972.07.11,World Championship 28th,Reykjavik ISL,B68,"Fischer, Robert J","Spassky, Boris V",20,1/2-1/2
1972.08.31,1972.07.11,World Championship 28th,Reykjavik ISL,B46,"Spassky, Boris V","Fischer, Robert J",21,0-1
1978.07.18,1978.07.??,World Championship 29th,Baguio City PHI,D58,"Korchnoi, Viktor L","Karpov, Anatoly",1,1/2-1/2
1978.07.20,1978.07.??,World Championship 29th,Baguio City PHI,C82,"Karpov, Anatoly","Korchnoi, Viktor L",2,1/2-1/2
1978.07.22,1978.07.??,World Championship 29th,Baguio City PHI,E42,"Korchnoi, Viktor L","Karpov, Anatoly",3,1/2-1/2
1978.07.25,1978.07.??,World Championship 29th,Baguio City PHI,C82,"Karpov, Anatoly","Korchnoi, Viktor L",4,1/2-1/2
1978.07.27,1978.07.??,World Championship 29th,Baguio City PHI,E42,"Korchnoi, Viktor L","Karpov, Anatoly",5,1/2-1/2
1978.07.29,1978.07.??,World Championship 29th,Baguio City PHI,A29,"Karpov, Anatoly","Korchnoi, Viktor L",6,1/2-1/2
1978.08.01,1978.07.??,World Championship 29th,Baguio City PHI,E47,"Korchnoi, Viktor L","Karpov, Anatoly",7,1/2-1/2
1978.08.03,1978.07.??,World Championship 29th,Baguio City PHI,C80,"Karpov, Anatoly","Korchnoi, Viktor L",8,1-0
1978.08.05,1978.07.??,World Championship 29th,Baguio City PHI,D37,"Korchnoi, Viktor L","Karpov, Anatoly",9,1/2-1/2
1978.08.08,1978.07.??,World Championship 29th,Baguio City PHI,C80,"Karpov, Anatoly","Korchnoi, Viktor L",10,1/2-1/2
1978.08.10,1978.07.??,World Championship 29th,Baguio City PHI,B20,"Korchnoi, Viktor L","Karpov, Anatoly",11,1-0
1978.08.15,1978.07.??,World Championship 29th,Baguio City PHI,C81,"Karpov, Anatoly","Korchnoi, Viktor L",12,1/2-1/2
1978.08.17,1978.07.??,World Championship 29th,Baguio City PHI,D53,"Korchnoi, Viktor L","Karpov, Anatoly",13,0-1
1978.08.19,1978.07.??,World Championship 29th,Baguio City PHI,C82,"Karpov, Anatoly","Korchnoi, Viktor L",14,1-0
1978.08.22,1978.07.??,World Championship 29th,Baguio City PHI,E05,"Korchnoi, Viktor L","Karpov, Anatoly",15,1/2-1/2
1978.08.24,1978.07.??,World Championship 29th,Baguio City PHI,C08,"Karpov, Anatoly","Korchnoi, Viktor L",16,1/2-1/2
1978.08.26,1978.07.??,World Championship 29th,Baguio City PHI,E47,"Korchnoi, Viktor L","Karpov, Anatoly",17,0-1
1978.09.02,1978.07.??,World Championship 29th,Baguio City PHI,B08,"Karpov, Anatoly","Korchnoi, Viktor L",18,1/2-1/2
1978.09.07,1978.07.??,World Championship 29th,Baguio City PHI,E06,"Korchnoi, Viktor L","Karpov, Anatoly",19,1/2-1/2
1978.09.09,1978.07.??,World Championship 29th,Baguio City PHI,B15,"Karpov, Anatoly","Korchnoi, Viktor L",20,1/2-1/2
1978.09.12,1978.07.??,World Championship 29th,Baguio City PHI,D37,"Korchnoi, Viktor L","Karpov, Anatoly",21,1-0
1978.09.14,1978.07.??,World Championship 29th,Baguio City PHI,C08,"Karpov, Anatoly","Korchnoi, Viktor L",22,1/2-1/2
1978.09.16,1978.07.??,World Championship 29th,Baguio City PHI,D37,"Korchnoi, Viktor L","Karpov, Anatoly",23,1/2-1/2
1978.09.19,1978.07.??,World Championship 29th,Baguio City PHI,C83,"Karpov, Anatoly","Korchnoi, Viktor L",24,1/2-1/2
1978.09.23,1978.07.??,World Championship 29th,Baguio City PHI,A22,"Korchnoi, Viktor L","Karpov, Anatoly",25,1/2-1/2
1978.09.26,1978.07.??,World Championship 29th,Baguio City PHI,A21,"Karpov, Anatoly","Korchnoi, Viktor L",26,1/2-1/2
1978.09.28,1978.07.??,World Championship 29th,Baguio City PHI,A29,"Korchnoi, Viktor L","Karpov, Anatoly",27,0-1
1978.09.30,1978.07.??,World Championship 29th,Baguio City PHI,C82,"Karpov, Anatoly","Korchnoi, Viktor L",28,0-1
1978.10.07,1978.07.??,World Championship 29th,Baguio City PHI,A19,"Korchnoi, Viktor L","Karpov, Anatoly",29,1-0
1978.10.10,1978.07.??,World Championship 29th,Baguio City PHI,A34,"Karpov, Anatoly","Korchnoi, Viktor L",30,1/2-1/2
1978.10.12,1978.07.??,World Championship 29th,Baguio City PHI,D36,"Korchnoi, Viktor L","Karpov, Anatoly",31,1-0
1978.10.17,1978.07.??,World Championship 29th,Baguio City PHI,A43,"Karpov, Anatoly","Korchnoi, Viktor L",32,1-0
1981.10.01,1981.10.??,World Championship 30th,Meran ITA,D58,"Korchnoi, Viktor L","Karpov, Anatoly",1,0-1
1981.10.03,1981.10.??,World Championship 30th,Meran ITA,C67,"Karpov, Anatoly","Korchnoi, Viktor L",2,1-0
1981.10.05,1981.10.??,World Championship 30th,Meran ITA,D58,"Korchnoi, Viktor L","Karpov, Anatoly",3,1/2-1/2
1981.10.08,1981.10.??,World Championship 30th,Meran ITA,C42,"Karpov, Anatoly","Korchnoi, Viktor L",4,1-0
1981.10.12,1981.10.??,World Championship 30th,Meran ITA,D53,"Korchnoi, Viktor L","Karpov, Anatoly",5,1/2-1/2
1981.10.15,1981.10.??,World Championship 30th,Meran ITA,C82,"Karpov, Anatoly","Korchnoi, Viktor L",6,0-1
1981.10.17,1981.10.??,World Championship 30th,Meran ITA,D53,"Korchnoi, Viktor L","Karpov, Anatoly",7,1-0
1981.10.22,1981.10.??,World Championship 30th,Meran ITA,C54,"Karpov, Anatoly","Korchnoi, Viktor L",8,1/2-1/2
1981.10.24,1981.10.??,World Championship 30th,Meran ITA,D53,"Korchnoi, Viktor L","Karpov, Anatoly",9,0-1
1981.10.29,1981.10.??,World Championship 30th,Meran ITA,C54,"Karpov, Anatoly","Korchnoi, Viktor L",10,1/2-1/2
1981.10.31,1981.10.??,World Championship 30th,Meran ITA,D37,"Korchnoi, Viktor L","Karpov, Anatoly",11,1/2-1/2
1981.11.02,1981.10.??,World Championship 30th,Meran ITA,A16,"Karpov, Anatoly","Korchnoi, Viktor L",12,1/2-1/2
1981.11.05,1981.10.??,World Championship 30th,Meran ITA,D31,"Korchnoi, Viktor L","Karpov, Anatoly",13,1-0
1981.11.09,1981.10.??,World Championship 30th,Meran ITA,C80,"Karpov, Anatoly","Korchnoi, Viktor L",14,1-0
1981.11.12,1981.10.??,World Championship 30th,Meran ITA,A29,"Korchnoi, Viktor L","Karpov, Anatoly",15,1/2-1/2
1981.11.14,1981.10.??,World Championship 30th,Meran ITA,C80,"Karpov, Anatoly","Korchnoi, Viktor L",16,1/2-1/2
1981.11.16,1981.10.??,World Championship 30th,Meran ITA,D53,"Korchnoi, Viktor L","Karpov, Anatoly",17,1/2-1/2
1981.11.18,1981.10.??,World Championship 30th,Meran ITA,C80,"Karpov, Anatoly","Korchnoi, Viktor L",18,1-0
1984.09.10,1984.09.10,World Championship 31th,Moscow RUS,B81,"Karpov, Anatoly","Kasparov, Gary",1,1/2-1/2
1984.09.12,1984.09.10,World Championship 31th,Moscow RUS,E17,"Kasparov, Gary","Karpov, Anatoly",2,1/2-1/2
