前一站,后一站,地铁线,时间（分钟）
打浦桥,马当路,9,2
马当路,陆家浜路,9,2
陆家浜路,小南门,9,3
小南门,商城路,9,4
商城路,世纪大道,9,3
世纪大道,杨高中路,9,3
杨高中路,芳甸路,9,2
芳甸路,蓝天路,9,3
蓝天路,台儿庄路,9,3
台儿庄路,金桥,9,2
金桥,金吉路,9,3
金吉路,金海路,9,2
金海路,顾唐路,9,3
顾唐路,民雷路,9,2
民雷路,曹路,9,2
航中路,紫藤路,10,2
紫藤路,龙柏新村,10,2
龙柏新村,虹桥火车站,10,1
虹桥火车站,虹桥2号航站楼,10,1
虹桥2号航站楼,虹桥1号航站楼,10,3
虹桥1号航站楼,上海动物园,10,3
上海动物园,龙溪路,10,2
龙溪路,水城路,10,3
水城路,伊犁路,10,2
伊犁路,宋园路,10,2
宋园路,虹桥路,10,2
虹桥路,交通大学,10,2
交通大学,上海图书馆,10,2
上海图书馆,陕西南路,10,3
陕西南路,一大会址·新天地,10,2
一大会址·新天地,老西门,10,2
老西门,豫园,10,3
豫园,南京东路,10,2
南京东路,天潼路,10,2
天潼路,四川北路,10,2
四川北路,海伦路,10,2
海伦路,邮电新村,10,2
邮电新村,四平路,10,2
四平路,同济大学,10,2
同济大学,国权路,10,2
国权路,五角场,10,2
五角场,江湾体育场,10,2
江湾体育场,三门路,10,2
三门路,殷高东路,10,2
殷高东路,新江湾城,10,2
新江湾城,国帆路,10,2
国帆路,双江路,10,4
双江路,高桥西,10,2
高桥西,高桥,10,2
高桥,港城路,10,2
港城路,基隆路,10,2
花桥,光明路,11,2
光明路,兆丰路,11,3
兆丰路,安亭,11,3
安亭,上海汽车城,11,2
上海汽车城,昌吉东路,11,3
昌吉东路,上海赛车场,11,4
上海赛车场,嘉定新城,11,4
嘉定北,嘉定西,11,2
嘉定西,白银路,11,3
白银路,嘉定新城,11,3
嘉定新城,马陆,11,3
马陆,陈翔公路,11,4
陈翔公路,南翔,11,3
南翔,桃浦新村,11,3
桃浦新村,武威路,11,3
武威路,祁连山路,11,2
祁连山路,李子园,11,3
李子园,上海西站,11,2
上海西站,真如,11,3
真如,枫桥路,11,2
枫桥路,曹杨路,11,2
曹杨路,隆德路,11,2
隆德路,江苏路,11,2
江苏路,交通大学,11,3
交通大学,徐家汇,11,2
徐家汇,上海游泳馆,11,3
上海游泳馆,龙华,11,3
龙华,云锦路,11,2
云锦路,龙耀路,11,2
龙耀路,东方体育中心,11,3
东方体育中心,三林,11,4
三林,三林东,11,2
三林东,浦三路,11,2
浦三路,御桥,11,4
御桥,罗山路,11,3
罗山路,秀沿路,11,2
秀沿路,康新公路,11,3
康新公路,迪士尼,11,3
七莘路,虹莘路,12,2
虹莘路,顾戴路,12,3
顾戴路,东兰路,12,2
东兰路,虹梅路,12,3
虹梅路,虹漕路,12,2
虹漕路,桂林公园,12,2
桂林公园,漕宝路,12,2
漕宝路,龙漕路,12,3
龙漕路,龙华,12,2
龙华,龙华中路,12,3
龙华中路,大木桥路,12,3
大木桥路,嘉善路,12,2
嘉善路,陕西南路,12,3
陕西南路,南京西路,12,2
南京西路,汉中路,12,3
汉中路,曲阜路,12,3
曲阜路,天潼路,12,2
天潼路,国际客运中心,12,3
国际客运中心,提篮桥,12,3
提篮桥,大连路,12,2
大连路,江浦公园,12,2
江浦公园,宁国路,12,2
宁国路,隆昌路,12,3
隆昌路,爱国路,12,2
爱国路,复兴岛,12,2
复兴岛,东陆路,12,3
东陆路,巨峰路,12,2
巨峰路,杨高北路,12,3
杨高北路,金京路,12,2
金京路,申江路,12,2
申江路,金海路,12,3
金运路,金沙江西路,13,2
金沙江西路,丰庄,13,3
丰庄,祁连山南路,13,3
祁连山南路,真北路,13,2
真北路,大渡河路,13,3
大渡河路,金沙江路,13,3
金沙江路,隆德路,13,2
隆德路,武宁路,13,3
武宁路,长寿路,13,2
长寿路,江宁路,13,2
江宁路,汉中路,13,3
汉中路,自然博物馆,13,1
自然博物馆,南京西路,13,3
南京西路,淮海中路,13,2
淮海中路,一大会址·新天地,13,3
一大会址·新天地,马当路,13,2
马当路,世博会博物馆,13,2
世博会博物馆,世博大道,13,3
世博大道,长清路,13,3
长清路,成山路,13,2
成山路,东明路,13,2
东明路,华鹏路,13,3
华鹏路,下南路,13,2
下南路,北蔡,13,3
北蔡,陈春路,13,2
陈春路,莲溪路,13,2
莲溪路,华夏中路,13,3
华夏中路,中科路,13,3
中科路,学林路,13,2
学林路,张江路,13,2
封浜,乐秀路,14,2
乐秀路,临洮路,14,2
临洮路,嘉怡路,14,3
嘉怡路,定边路,14,2
定边路,真新新村,14,2
真新新村,真光路,14,2
真光路,铜川路,14,2
铜川路,真如,14,2
真如,中宁路,14,3
中宁路,曹杨路,14,2
曹杨路,武宁路,14,2
武宁路,武定路,14,2
武定路,静安寺,14,2
静安寺,一大会址·黄陂南路,14,3
一大会址·黄陂南路,大世界,14,2
大世界,豫园,14,2
豫园,陆家嘴,14,3
陆家嘴,浦东南路,14,2
浦东南路,浦东大道,14,2
浦东大道,源深路,14,2
源深路,昌邑路,14,2
昌邑路,歇浦路,14,2
歇浦路,云山路,14,3
云山路,蓝天路,14,3
蓝天路,黄杨路,14,2
黄杨路,云顺路,14,2
云顺路,浦东足球场,14,3
浦东足球场,金粤路,14,2
金粤路,桂桥路,14,1
紫竹高新区,永德路,15,2
永德路,元江路,15,3
元江路,双柏路,15,3
双柏路,曙建路,15,1
曙建路,景西路,15,2
景西路,虹梅南路,15,3
虹梅南路,华泾西,15,2
华泾西,朱梅路,15,2
朱梅路,罗秀路,15,2
罗秀路,华东理工大学,15,3
华东理工大学,上海南站,15,2
上海南站,桂林公园,15,3
桂林公园,桂林路,15,2
桂林路,吴中路,15,2
吴中路,姚虹路,15,2
姚虹路,红宝石路,15,2
红宝石路,娄山关路,15,3
娄山关路,长风公园,15,2
长风公园,大渡河路,15,2
大渡河路,梅岭北路,15,2
梅岭北路,铜川路,15,2
铜川路,上海西站,15,3
上海西站,武威东路,15,2
武威东路,古浪路,15,2
古浪路,祁安路,15,2
祁安路,南大路,15,2
南大路,丰翔路,15,2
丰翔路,锦秋路,15,3
锦秋路,顾村公园,15,2
龙阳路,华夏中路,16,5
华夏中路,罗山路,16,4
罗山路,周浦东,16,7
周浦东,鹤沙航城,16,6
鹤沙航城,航头东,16,4
航头东,新场,16,6
新场,野生动物园,16,7
野生动物园,惠南,16,8
惠南,惠南东,16,5
惠南东,书院,16,11
书院,临港大道,16,6
临港大道,滴水湖,16,3
虹桥火车站,诸光路,17,3
诸光路,蟠龙路,17,2
蟠龙路,徐盈路,17,3
徐盈路,徐泾北城,17,3
徐泾北城,嘉松中路,17,3
嘉松中路,赵巷,17,3
赵巷,汇金路,17,3
汇金路,青浦新城,17,3
青浦新城,漕盈路,17,3
漕盈路,淀山湖大道,17,3
淀山湖大道,朱家角,17,4
朱家角,东方绿舟,17,3
航头,下沙,18,2
下沙,鹤涛路,18,3
鹤涛路,沈梅路,18,3
沈梅路,繁荣路,18,2
繁荣路,周浦,18,2
周浦,康桥,18,3
康桥,御桥,18,3
御桥,莲溪路,18,2
莲溪路,北中路,18,3
北中路,芳芯路,18,1
芳芯路,龙阳路,18,2
龙阳路,迎春路,18,3
迎春路,杨高中路,18,2
杨高中路,民生路,18,2
民生路,昌邑路,18,2
昌邑路,丹阳路,18,3
丹阳路,平凉路,18,1
平凉路,江浦公园,18,2
江浦公园,江浦路,18,3
江浦路,抚顺路,18,1
抚顺路,国权路,18,2
国权路,复旦大学,18,3
复旦大学,上海财经大学,18,2
上海财经大学,殷高路,18,2
殷高路,长江南路,18,2
